AuthorID,Author,Date,Content,Attachments,Reactions
"169786952432746498","mithro_","2026-05-01T01:55:31.5160000+00:00","Great work Mike!","",""
"169786952432746498","mithro_","2026-05-01T01:55:56.3430000+00:00","From what I have seen so far, I don't think the bond house we are using will care at all.","",""
"169786952432746498","mithro_","2026-05-01T01:59:38.7170000+00:00","@RebelMike / @Greg - It is very likely whatever we end up using on the TinyQV and/or Racquet die will become the standard CoB layout for the non-1x1 projects getting packaged.","",""
"169786952432746498","mithro_","2026-05-01T02:01:01.7420000+00:00","@RebelMike / @Greg / @Leo Moser (mole99) - I'm also open to the alternative idea of changing the GF180MCU template I/O allocations for these sizes to make things easier.","",""
"252198343764213760","dnaltews","2026-05-01T02:05:54.5380000+00:00","a pin 1 marker on the silkscreen for the mezzanine connector might be nice just for completeness","",""
"262706220073222144","namibj","2026-05-01T02:07:20.5310000+00:00","Might wrongly suggest polarization.","",""
"384390069412429834","polyfractal","2026-05-01T02:19:39.8510000+00:00","just got my motherboard breakout PCBs ... i severely underestimated how small the connector pins/pads would be 😅  probably should have bought a stencil to go with it, guess we'll see how good I am at fine soldering!","","💜 (1)"
"169786952432746498","mithro_","2026-05-01T02:30:16.8540000+00:00","Hot Air reflow and a good (pre-)heating plate helps a lot, surface tension is your friend.","","👍 (1)"
"756011607603019777","anfroholic","2026-05-01T03:36:46.3360000+00:00","Sorry, it seems I didn't hit save before I hit commit.","",""
"274535015969456128","greg.hashtag.9468","2026-05-01T06:43:13.1610000+00:00","Do you have the scripts which generated this? Would be nice to get an SVG if possible to put into the datasheet/spec for the chip","",""
"274535015969456128","greg.hashtag.9468","2026-05-01T06:47:00.1120000+00:00","Was this checked in somewhere? I'm happy to take a look and poke around with the bonding for the 0p5x1","",""
"691780627338625077","rebelmike","2026-05-01T06:48:29.6950000+00:00","It’s in https://github.com/MichaelBell/chip-on-board-wire-bonded-pcbs/tree/half-slot-dev/mezzanine-0p5x1","","👍 (1)"
"756011607603019777","anfroholic","2026-05-01T06:49:09.0180000+00:00","I am told these may be partially out of date, but here you go!","2026-05_media/GD04_chip_top_10_8-53FBA.svg,2026-05_media/GD02_chip_top_14_4-96145.svg,2026-05_media/GD03_chip_top_6_6-B0050.svg,2026-05_media/GD04_chip_top_6_8-F78BA.svg",""
"691780627338625077","rebelmike","2026-05-01T06:51:31.1510000+00:00","Ah, no it isn't - apparently I was on Andrew's branch and committed and pushed it there.  I'll merge that","",""
"274535015969456128","greg.hashtag.9468","2026-05-01T06:53:47.7900000+00:00","Thanks 👍","",""
"691780627338625077","rebelmike","2026-05-01T06:54:16.5040000+00:00","I'll also make a PR against the main repo.  But possibly after I've had some coffee 🙂","",""
"274535015969456128","greg.hashtag.9468","2026-05-01T06:56:32.9260000+00:00","No worries, I'll only get to looking at this in depth in a few hours","",""
"169786952432746498","mithro_","2026-05-01T07:02:14.7710000+00:00","It is a super horrific AI written bit of code. Let me see if I can upload it somewhere. 

At some point I think I'm (or really I'm going to have a better attempt at AI doing it) going to try and write/good a proper version and integrate it into either https://platform.wafer.space or maybe even LibreLane.","","💜 (1)"
"169786952432746498","mithro_","2026-05-01T07:03:30.9950000+00:00","@Leo Moser (mole99) / @Andrew Wingate - I just had the thought that maybe it should be LibreLane that is generating Andrew's KiCAD footprints + wire bonding diagrams and my random pin out diagrams?","",""
"169786952432746498","mithro_","2026-05-01T07:03:48.5300000+00:00","@Leo Moser (mole99) - Terrible or good idea? 😛","",""
"756011607603019777","anfroholic","2026-05-01T07:04:58.0560000+00:00","I don't know how that would work? You  must specify a standard wirebonding frame first? Like from a set?","",""
"691780627338625077","rebelmike","2026-05-01T07:06:32.0400000+00:00","Not sure if Librelane, but a script that could generate the correct sized pad + drawing annotations in the exact pin positions could be useful. For the whole padring I guess it would be possible at least for a standard rectangular one - just push the pins out until the 45 degree rule wasn’t violated","",""
"691780627338625077","rebelmike","2026-05-01T07:33:12.3260000+00:00","Yeah I don’t know how much thought was given to the pin allocations for the different sizes - I suspect @Leo Moser (mole99) was just trying things out.
Potentially we try to route them all to match the existing template as much as possible, then change the template to make them match completely?
Though I suspect in general this doesn’t matter too much - the case of wanting them to match has only really come up because TinyQV was used in different slot sizes as a test.","",""
"169786952432746498","mithro_","2026-05-01T07:38:51.1680000+00:00","I think having a ""standard"" which means people can share ""motherboards"" PCBs is helpful rather than everyone having to design new ones.","",""
"691780627338625077","rebelmike","2026-05-01T07:42:47.7720000+00:00","I don’t think a standard mapping of the template pinout is required for that - it’s probably the other way around: if there was a standard SoC host motherboard (with flash, ram, etc) and the pinout for that and all the breakouts was known, you could just wire things up correctly in the silicon.","",""
"691780627338625077","rebelmike","2026-05-01T07:43:39.3740000+00:00","But I guess that is basically the same as saying make the template match whatever we end up with","",""
"756011607603019777","anfroholic","2026-05-01T07:50:48.8980000+00:00","That is a good point though to think about some things upstream instead of all downstream. 
Thanks for the thought","",""
"169786952432746498","mithro_","2026-05-01T12:38:08.8330000+00:00","@Greg - Don't say I didn't warn you 😛 - https://github.com/mithro/wafer-space-die-pad-diagrams","","❤️ (1)"
"1386929896323944612","thorben_61995","2026-05-01T13:42:43.7540000+00:00","That looks much more professional than what I did 😅","",""
"1386929896323944612","thorben_61995","2026-05-01T13:43:06.0400000+00:00","","2026-05_media/IMG_20260429_145204314-A6D5C.jpg",""
"220639106915368960","tholin","2026-05-01T14:24:47.8670000+00:00","","2026-05_media/padout-C400A.png",""
"756011607603019777","anfroholic","2026-05-01T14:26:21.6910000+00:00","@Tholin here's yours, anyone else can have theirs if they wish. 

We're looking to integrate this into the verification system, so you'd just get one anyways.","2026-05_media/AS03_chip_top_6_0-B0753.png",""
"756011607603019777","anfroholic","2026-05-01T14:27:05.0500000+00:00","Yours is still very neat that is shows the sub-projects as well!","",""
"220639106915368960","tholin","2026-05-01T14:33:28.1040000+00:00","To show the macro locations is a bit tricky. The position of each macro is specified in the librelane config, but to get its size, you need to open up its LEF.","","👍 (1)"
"220639106915368960","tholin","2026-05-01T14:34:46.6140000+00:00","I see the analog pads are all just labeled ""PAD"" in this","",""
"756011607603019777","anfroholic","2026-05-01T14:35:39.1850000+00:00","Yeah, we were talking earlier about pincounts and what's actually needed. 
How many of the pins did you end up using for real? all of them? Most of them?","",""
"220639106915368960","tholin","2026-05-01T14:40:30.2880000+00:00","All of them","","💯 (1)"
"756011607603019777","anfroholic","2026-05-01T14:41:35.8190000+00:00","Like I said we were talking about some reduced pin counts. 
In your opinion what's a reasonable low number?","",""
"756011607603019777","anfroholic","2026-05-01T14:41:43.7130000+00:00","*lower","",""
"220639106915368960","tholin","2026-05-01T14:42:32.9110000+00:00","I always need as many as possible for my processor designs for memory throughput","","🤣 (1)"
"220639106915368960","tholin","2026-05-01T14:43:09.6430000+00:00","I can finally build 32-bit wide data buses on wafer.space","",""
"756011607603019777","anfroholic","2026-05-01T14:43:25.4050000+00:00","It's all good. There really is no answer. 
Ah, ok, that's a good thought.","",""
"220639106915368960","tholin","2026-05-01T14:43:38.2440000+00:00","My GFMPW-1 RISC-V core multiplexes both halves of the address and both halves of a word onto the same 16 pins","",""
"220639106915368960","tholin","2026-05-01T14:43:51.9950000+00:00","4 clock cycles for a single instruction fetch, worst case","",""
"220639106915368960","tholin","2026-05-01T14:44:04.7570000+00:00","3 clock cycles best case","",""
"756011607603019777","anfroholic","2026-05-01T14:44:05.5800000+00:00","I see. Thanks for the insight","",""
"220639106915368960","tholin","2026-05-01T14:45:20.6330000+00:00","wafer.space still doesn’t give enough pins for separate address and data buses on a 32-bit CPU without compromises, but its almost there","","👍 (1)"
"756011607603019777","anfroholic","2026-05-01T14:46:19.4340000+00:00","Getcha, the question revolved around trying to come up with some less expensive cob or packaging alternatives.","",""
"1187141985530818611","ravenslofty","2026-05-01T15:00:04.8220000+00:00","CHES uses 4 GPIOs for JTAG and 11 for ULPI","","💜 (1)"
"1187141985530818611","ravenslofty","2026-05-01T15:00:49.6180000+00:00","(if that's a useful datapoint)","",""
"756011607603019777","anfroholic","2026-05-01T15:01:46.3960000+00:00","They are all useful. Thank you. 
I think we just need to put together some numbers and see where any kind of step functions are.","",""
"1187141985530818611","ravenslofty","2026-05-01T15:07:34.5040000+00:00","(side note, I don't suppose there's a way to manually annotate the pad diagrams with actual pin functions rather than the toplevel pin name)","",""
"220639106915368960","tholin","2026-05-01T15:08:36.9930000+00:00","Unfortunately, we are talking about integrated circuits, where IO is often the bottleneck","",""
"756011607603019777","anfroholic","2026-05-01T15:08:37.2530000+00:00","Does this data exist somewhere? If it exists and people will use it we can incorporate it into the pipeline","",""
"1187141985530818611","ravenslofty","2026-05-01T15:09:06.1450000+00:00","ULPI was my solution to that problem :p","",""
"1187141985530818611","ravenslofty","2026-05-01T15:09:27.6500000+00:00","uh, I have it as source code defines; nothing more structured if that's what you're asking for","",""
"756011607603019777","anfroholic","2026-05-01T15:09:30.3870000+00:00","Can you share what that acronym is?","",""
"756011607603019777","anfroholic","2026-05-01T15:09:59.4310000+00:00","I see, if there's a way to get it into the GDS that's our source of truth.","",""
"1187141985530818611","ravenslofty","2026-05-01T15:10:08.8210000+00:00","UTMI+ Low Pin Interface; uh, USB Hi Speed PHY interface","","💜 (1)"
"1187141985530818611","ravenslofty","2026-05-01T15:10:54.9370000+00:00","which means I can do 480Mbps serial (well, theoretically) while having my chip only have to achieve 60MHz","",""
"220639106915368960","tholin","2026-05-01T15:11:01.6840000+00:00","I mean, particularly for memory. Ever CPU I ever taped out on gf180mcu was memory bottlenecked. Caravel was **aggressively** memory bottlenecked.","",""
"756011607603019777","anfroholic","2026-05-01T15:11:21.0130000+00:00","I know Tim has been interested in SerDes, this can probably help with pincounts someday as well?","","👍 (1),🎉 (1)"
"1187141985530818611","ravenslofty","2026-05-01T15:11:28.6580000+00:00","yes","",""
"756011607603019777","anfroholic","2026-05-01T15:11:43.9380000+00:00","I am marginally aware how they didn't let you do a lot","",""
"1187141985530818611","ravenslofty","2026-05-01T15:12:15.3090000+00:00","(although I feel like at that point we *need* a better standard cell library >.>)","","💯 (1)"
"1187141985530818611","ravenslofty","2026-05-01T15:12:42.7290000+00:00","(this is not directed at Tholin, it's directed at myself to try to get back to working on my synthesisable domino logic library)","","waferspace (1)"
"220639106915368960","tholin","2026-05-01T15:19:21.5300000+00:00","There is a lot I need to improve about my SCL before I’m fully confident in it","",""
"1187141985530818611","ravenslofty","2026-05-01T15:20:37.6950000+00:00","It also doesn't help that I'm having to work with custom timing extraction scripts from ngspice to characterise the cells","",""
"1187141985530818611","ravenslofty","2026-05-01T15:23:11.0880000+00:00","I also think my library will probably have to rely on yours for the non-logic stuff because I have zero clue what to do there","",""
"691780627338625077","rebelmike","2026-05-01T15:44:18.7740000+00:00","Tiny Tapeout offers 26 pins (plus any analog pins) so 26-30 might be something to consider for a lower cost option on the smaller slots. Although Wafer Space is quite a different offering to TT people might prototype on TT and then bring things across.

It might also be interesting to have a higher pin count option for the full size slot.","","💯 (1)"
"756011607603019777","anfroholic","2026-05-01T15:45:15.1940000+00:00","I don't think there are any plans to lower any counts, only to try to offer a lower cost version.","",""
"691780627338625077","rebelmike","2026-05-01T15:49:34.7250000+00:00","I guess I was thinking it might be interesting to have the current option (56 IOs) plus a smaller option (~26 IOs) for the half slots.
And the current option plus a larger option (~80 IOs?) on the full slot.","",""
"691780627338625077","rebelmike","2026-05-01T15:52:55.4120000+00:00","Though the larger option would obviously need a different connector (presumably 2x50) - I know there was some concern about two connectors but TT should soon find out if that causes any problems","",""
"756011607603019777","anfroholic","2026-05-01T15:54:35.1260000+00:00","2x mezzanine was shunned pretty hard by those here, so I don't see that as an option. 
Maybe if we can get back to looking at some kind of LGA or something. 
https://discord.com/channels/1361349522684510449/1408134567491145728/1426376335709966446","",""
"691780627338625077","rebelmike","2026-05-01T15:56:55.6080000+00:00","Yeah I remember that discussion but I think it was probably over cautious. But the new TT boards should be a good indicator of whether it’s a problem in practice (they have 2x mezzanine)","","👍 (1)"
"805909190333038612","trev5514","2026-05-01T16:05:01.5210000+00:00","I was going to use this for my daughter/motherboard cards: HC-PBB40C-90DP-0.4V-02 it's a 90 pin version, much easier than a 2x50 (in my opinion).","",""
"805909190333038612","trev5514","2026-05-01T16:05:10.2280000+00:00","https://jlcpcb.com/partdetail/HCTL-HC_PBB40C_90DP_0_4V02/C19089238","","👍 (1),👀 (1)"
"262706220073222144","namibj","2026-05-01T17:40:49.4020000+00:00","DDR to the rescue?","",""
"169786952432746498","mithro_","2026-05-02T02:31:48.7430000+00:00","FYI - The diagrams are at https://github.com/mithro/wafer-space-die-pad-diagrams/tree/main/diagrams","",""
"169786952432746498","mithro_","2026-05-02T02:33:03.0740000+00:00","You have a ULPI USB interface?","",""
"169786952432746498","mithro_","2026-05-02T02:36:13.0100000+00:00","At the current time packaging is a large part of the cost here and packaging is driven up by the number of IO pins. IO pads also take up quite a bit of die space. Hence figuring out options for SERDES and other ways to reduce pin count is something I'm very interested in.","",""
"1187141985530818611","ravenslofty","2026-05-02T06:19:13.3080000+00:00","Yes","",""
"169786952432746498","mithro_","2026-05-02T06:24:12.3990000+00:00","@Lofty - Cool! I think having a bunch of proven USB connectivity solutions would be a huge gain for community.","",""
"169786952432746498","mithro_","2026-05-02T06:24:33.0440000+00:00","@tnt also had some type of USB interface on the Tiny Tapeout chip.","",""
"1187141985530818611","ravenslofty","2026-05-02T06:26:16.1390000+00:00","I knew I was going to be bandwidth hungry but also needed some kind of standard communication interface; at one point the plan was to have the chip be its own PHY and run at Full Speed, but then it was suggested that I could use ULPI and aim for Hi Speed instead.","",""
