AuthorID,Author,Date,Content,Attachments,Reactions
"1184268085822238821","saladchap","2026-09-02T14:04:42.2810000+00:00","I've pinged HCTL to see if they have anything like an industrial connector with higher mating cycle rating that we could use - or any other solution they can suggest for testing","",""
"147848641153990657","kris____","2026-09-02T14:05:48.0660000+00:00","what about a massive array of pogo pins lol","","😓 (1)"
"384390069412429834","polyfractal","2026-09-02T14:16:54.5620000+00:00","probe cards say hi 😄","2026-09_media/Standard-probe-card-600x483-2154F.png","🤩 (1),😬 (1)"
"756011607603019777","anfroholic","2026-09-02T14:17:49.7130000+00:00","Wow!!! Haha","",""
"147848641153990657","kris____","2026-09-02T14:19:10.8460000+00:00","woa that looks insane","",""
"908721221682733106","lauri4332","2026-09-02T14:20:44.7060000+00:00","Pogopins just swap one headache for another. Every PCB would need probing pads, which complicates the COB PCB layout, and design changes may require creating new fixtures. And also alignment gets tricky as we'd want to test CoBs while they're  in the panel, but some get pulled out during wirebonding, so we might need two different fixtures for the same PCB. The current connector isn't as durable, but it works for every design we make, and we (can) have plenty of those adapter boards for now. 😆","",""
"756011607603019777","anfroholic","2026-09-02T14:24:36.5910000+00:00","Tell us how you really feel 😂","","😆 (1)"
"908721221682733106","lauri4332","2026-09-02T14:27:02.4420000+00:00","pins and needles 😢","",""
"147848641153990657","kris____","2026-09-02T14:28:27.6910000+00:00","ohh i didn't know they got tested whilst on the panel, i figured that the reason you wouldn't want to swap is because you're also testing the connector itself here

tbh i was thinking of this (https://www.raspberrypi.com/products/cm5-programming-jig/) when i mentioned it lol","",""
"384390069412429834","polyfractal","2026-09-02T14:31:39.4500000+00:00","yeah probe cards are nuts. had a friend who helped manufacture them, crazy expensive too. Used to be cantilever probes assembled onto PCBs, but over time they've moved to MEMS pins and photochemically-etched bumps/tabs due to density requirements. think they are used to test wafers more often than finished/packaged chips though.","2026-09_media/PCE9A081E99DA2-Cantilever-Probe-Card-scale-5A864.png,2026-09_media/images-04488.png,2026-09_media/photo-by-jay-solmonson-formfactor-founder--CC77C.png,2026-09_media/blade-probe-card-600x483-D9D31.png,2026-09_media/Digital-image-shows-the-probe-card-prototy-BC4BE.png","💜 (2),👀 (1)"
"756011607603019777","anfroholic","2026-09-02T14:33:12.5960000+00:00","That's so cool!!","",""
"908721221682733106","lauri4332","2026-09-02T15:14:56.7080000+00:00","The connector based design has already helped us catch some bad soldering and bent pins. While pogopin jigs are cool, we have plenty of different designs and some CoBs use custom PCB and making jigs every custom board doesn't seem feasible. For now,  connector based testing keeps it simple and flexible. 

Also, as  @Tim 'mithro' Ansell mentioned, in the future we may offer CoB testers to the community so a connector based design will definitely help to keep the cost down.","",""
"147848641153990657","kris____","2026-09-02T15:31:12.5930000+00:00","thanks for the info, definitely got it thought through lol","",""
"509798510170865675","essen__","2026-09-02T15:39:07.9080000+00:00","I can smell the hole in the bank account from here.","","💯 (2),💸 (1),😂 (1)"
