AuthorID,Author,Date,Content,Attachments,Reactions
"262706220073222144","namibj","2026-05-16T03:33:05.8520000+00:00","```
Error in extracting node gf180mcu_fd_sc_mcu7t5v0__fillcap_64_40578/a_3260_375#
Bad Device Location at 585660,629620
Couldn't find device at 585660 629620
```","2026-05_media/image-C7A06.png",""
"169786952432746498","mithro_","2026-05-18T18:31:44.6030000+00:00","@Leo Moser (mole99) / @Tim Edwards - Any ideas?","",""
"262706220073222144","namibj","2026-05-18T18:33:43.7920000+00:00","something wonky; It's going better now.","",""
"262706220073222144","namibj","2026-05-18T18:34:01.5820000+00:00","(Better as in, not failing; current ETA is 300 days though.)","",""
"262706220073222144","namibj","2026-05-18T18:35:18.5540000+00:00","it spits out batches of about 23 nets each, every about 4 minutes.","",""
"262706220073222144","namibj","2026-05-18T18:36:03.7020000+00:00","And I count 2.4M lines of node declarations in the earlier resistance-not-including cap-and-devices extraction.","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-18T18:36:46.5620000+00:00","@namibj :  Make sure you're using magic version 8.3.644, which I updated a few days ago and which specifically resolves an issue with very slow run-times on the R-C extraction.","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-18T18:38:39.9840000+00:00","As for the ""bad device location"" error, I would need a reproducible result.","",""
"262706220073222144","namibj","2026-05-18T18:42:55.9200000+00:00","wait, are you _the_ Magic-vlsi guy?","",""
"262706220073222144","namibj","2026-05-18T18:44:50.0210000+00:00","I can get the folder bundled up for you into a `.tar.zst` if you want, including the script that did that and the git commits involved in it happening.","",""
"262706220073222144","namibj","2026-05-18T18:45:27.9700000+00:00","How ""resolved"" are we speaking here?","",""
"262706220073222144","namibj","2026-05-18T18:45:55.5700000+00:00","https://discord.com/channels/1361349522684510449/1505985508650516561","",""
"262706220073222144","namibj","2026-05-18T18:50:36.6950000+00:00","Yeah it's running with 8.3.581 🙁","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-18T18:52:03.4990000+00:00","Given the rate of development, 581 isn't all that long ago (December), but I did a lot of work on the R-C extraction since then, so it's well worth updating (and yes, I am _the_ magic VLSI guy).","",""
"262706220073222144","namibj","2026-05-18T18:52:28.3020000+00:00","","2026-05_media/image-1D4F5.png",""
"262706220073222144","namibj","2026-05-18T18:52:57.0880000+00:00","(the name rung a bell, figured I'd ask to give you the honors deserving)","",""
"262706220073222144","namibj","2026-05-18T18:53:05.4080000+00:00","I'll built and use this one for a run then.","",""
"262706220073222144","namibj","2026-05-18T18:53:30.0280000+00:00","(that curently running lone one uses the nix setup from @Tholin )","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-18T18:54:14.7380000+00:00","As far as ""resolved""---There were two badly-designed nested loops in the R-C extraction process that were potentially causing extraction to be ridiculously slow.  I removed one of the nested loops from each process and sped up the extraction time from several hours to about 30 seconds.  But that was a specific pathological case and I have no idea if your design is affected by the same problem.","",""
"262706220073222144","namibj","2026-05-18T18:55:45.5730000+00:00","this run is one GIGANTIC cell","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-18T18:55:52.4950000+00:00","Yes, please send me a tarball and I can look at it.","",""
"262706220073222144","namibj","2026-05-18T18:57:07.7100000+00:00","(having things be hierarchical caused the earlier errors and also initial cap extraction before getting to resistance took like 10 or 20 or so hours instead of the like 5 in the current run)","",""
"262706220073222144","namibj","2026-05-18T18:57:43.6400000+00:00","```
drc off
gds read {/tmp/tmpk8ys6nzm/chip_top.klayout_editing_03.gds}
load {chip_top}
select top cell
port makeall
ext2spice lvs
extract do resistance
extract all
ext2sim labels on
ext2sim
extresist simplify off
extresist all
ext2spice extresist on
ext2spice resistor tee on
ext2spice cthresh 1
ext2spice subcircuit top on
ext2spice hierarchy off
ext2spice
quit -noprompt
```","",""
"262706220073222144","namibj","2026-05-18T18:57:48.6400000+00:00","for reference, the script it's using","",""
"262706220073222144","namibj","2026-05-18T18:58:13.3100000+00:00","(generated by a python wrapper that makes a temporary folder for magic to litter it's files into)","",""
"1365118310701600900","rtimothyedwards_19428","2026-05-18T18:59:06.6500000+00:00","It is pretty easy to overload the R-C extraction.  I generally don't run it on digital standard cell designs.  But then I never tried investigating where the process bottlenecks were until a few days ago.  I'm sure it can be sped up a lot more.","",""
"262706220073222144","namibj","2026-05-18T18:59:19.4930000+00:00","https://wormhole.app/AyyZn5#5lr5k1NHRoty54ncsNhOWQ","",""
